Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-01-04,125.9744644165039,130.0629610638514,123.39481436257799,129.97535392263828,143301900
2021-01-05,127.53199005126953,128.24262097829288,125.02048114625119,125.46827577350281,97664900
2021-01-06,123.23906707763672,127.57093452826126,123.02490637051051,124.32933639261917,155088000
2021-01-07,127.4443588256836,128.13551641563382,124.46559750336911,124.95232359796171,109578200
2021-01-08,128.5443878173828,129.10899197173987,126.77269738263777,128.91428961570313,105158200
2021-01-11,125.55586242675781,126.71427293823224,125.08860952298478,125.76029392736588,100384500
2021-01-12,125.38066864013672,126.24704065814508,123.4921686595174,125.08862995743296,91951100
2021-01-13,127.41519927978516,127.9603303123861,125.07891918186495,125.34174066662901,88636800
2021-01-14,125.48772430419922,127.5222357990049,125.34169756472754,127.32754833341085,90221800
2021-01-15,123.76470184326172,126.76293615289802,123.62841914071917,125.36116272463164,111598500
2021-01-19,124.4364013671875,125.29304408982054,123.57002946950722,124.38772578454656,90757300
2021-01-20,128.52491760253906,128.97271223666024,125.13730745125214,125.24438780808299,104319500
2021-01-21,133.23638916015625,135.96205811290383,130.04346734095793,130.24789882523683,120150900
2021-01-22,135.37802124023438,136.13731286135894,131.43553637442392,132.66208095000118,114459400
2021-01-25,139.12579345703125,141.23818305206848,132.91516336360118,139.27182020640586,157611700
2021-01-26,139.3594207763672,140.46915569228537,137.6169330170498,139.787742121757,98390600
2021-01-27,138.2886199951172,140.46915831522645,136.68242977361535,139.62224478331817,140843800
2021-01-28,133.45057678222656,138.22050212672593,133.07093096645877,135.81607367562873,142621100
2021-01-29,128.45677185058594,133.10987264929705,126.753230328146,132.22402749273948,177523800
2021-02-01,130.57887268066406,131.78595871131816,127.45408469869479,130.19922693086417,106239800
2021-02-02,131.40631103515625,132.69126014883398,131.03639446508643,132.12665611956461,83305400
2021-02-03,130.3842315673828,132.16565144314657,130.0629904566346,132.1559074116743,89880900
2021-02-04,133.7425994873047,133.75232866214105,131.01693030921246,132.68154013575978,84183100
2021-02-05,133.32826232910156,133.97170445351236,132.45085206919504,133.90346870595903,75693800
2021-02-08,133.4745330810547,133.5232814106689,131.53446261926186,132.61661008272995,71297200
2021-02-09,132.59710693359375,134.42019329345555,132.44113310608114,133.19180084894626,76774200
2021-02-10,131.99266052246094,133.5525177010359,131.02749721967888,133.0553056014661,73046600
2021-02-11,131.73919677734375,132.9675743269367,130.41332257065082,132.4898645085888,64280000
2021-02-12,131.97312927246094,132.12911793128706,130.33529298247856,130.97873504321333,60145100
2021-02-16,129.84783935546875,132.59706880200096,129.45786770907952,132.0901279755408,80576300
2021-02-17,127.55683898925781,128.9022155221852,126.22122104772362,127.95655446293937,97918500
2021-02-18,126.45518493652344,126.7379014019475,124.21289601346298,125.95797287967874,96856700
2021-02-19,126.61116027832031,127.43009341839543,125.56801758188449,126.9718859638425,87668800
2021-02-22,122.83827209472656,126.46492703235708,122.44830783858197,124.7978296513902,103916400
2021-02-23,122.7017822265625,123.5304515985531,115.41922654111875,120.6544792375418,158273000
2021-02-24,122.20458221435547,122.40931177714582,119.16287735238498,121.80487424070276,111039900
2021-02-25,117.95399475097656,123.28673718148006,117.51528958023444,121.55140392768223,148199500
2021-02-26,118.21720123291016,121.71711309193381,118.15870176681696,119.51382163045578,164560400
2021-03-01,124.5833740234375,124.71986041672858,119.70883872604007,120.6447486105863,116307900
2021-03-02,121.98036193847656,125.49002551913253,121.87312157746639,125.18780674062197,102260900
2021-03-03,118.99713134765625,122.55554294590044,118.78265064406548,121.6781252666424,112966300
2021-03-04,117.11556243896484,120.49849054949536,115.64345838509743,118.69491428410296,178155000
2021-03-05,118.3731918334961,118.88014757741405,114.61980182519049,117.94423786319923,153766600
2021-03-08,113.440185546875,117.96375368831654,113.29394800099358,117.8955104919653,154376600
2021-03-09,118.05148315429688,118.99714411910483,115.80920155325997,116.04317714685729,129525800
2021-03-10,116.9693374633789,119.10437859558475,116.45263053937967,118.63642743151894,111943300
2021-03-11,118.89965057373047,120.1182842596345,118.21721868480411,119.46509838909789,103026500
2021-03-12,117.99298858642578,118.12947496626138,116.16991732521446,117.37879987716553,88105100
2021-03-15,120.87870025634766,120.88845140763532,117.39828304156515,118.36344619441722,92403800
2021-03-16,122.41905975341797,124.02765763412758,121.59039037182497,122.54579497339591,115227900
2021-03-17,121.62940979003906,122.70180609403398,119.2701289957093,120.93722665347914,111932600
2021-03-18,117.50553894042969,120.08904396527872,117.30080936399335,119.79656889154106,121229700
2021-03-19,116.97909545898438,118.3829639984745,116.67687665204714,116.89135739424152,185549500
2021-03-22,120.29376220703125,120.76172079332808,117.24230627726561,117.31054946298083,111912300
2021-03-23,119.465087890625,121.12242658262932,119.07512365781542,120.2352652049879,95467100
2021-03-24,117.07656860351562,119.81606211005297,117.05707373778829,119.73806777124454,88530500
2021-03-25,117.56402587890625,118.60718345893137,116.0139273940255,116.5403780411406,98844700
2021-03-26,118.1684799194336,118.4317089821302,115.93594193373995,117.33005928068575,94071200
2021-03-29,118.34394836425781,119.50408995901205,117.70051367598907,118.59742624167248,80819200
2021-03-30,116.89134979248047,117.37880328833072,115.87744562855794,117.09607936818357,85671900
2021-03-31,119.0848617553711,120.42047925105521,118.10995499918786,118.59740837727948,118323800
2021-04-01,119.91354370117188,121.0639340927336,119.41633912027298,120.55698579856444,75089100
2021-04-05,122.74079132080078,122.99426922039768,119.98180275866349,120.76173132452315,88651200
2021-04-06,123.04299926757812,123.93991183273825,122.49705378234141,123.32572316184695,80171300
2021-04-07,124.69059753417969,124.7100924000349,121.99985233123647,122.67254049145967,83466700
2021-04-08,127.08889770507812,127.11814372974433,125.29507210467128,125.71427504215544,88844600
2021-04-09,129.66262817382812,129.70161790758218,126.22120772891054,126.54292881700623,106686700
2021-04-12,127.9468002319336,129.51640109938154,127.35210636598374,129.19468000377913,91420000
2021-04-13,131.05674743652344,131.28098676840776,128.6194798143975,129.11669192988782,91266500
2021-04-14,128.7169952392578,131.61247078663607,128.35628433887234,131.55397873531984,87222800
2021-04-15,131.125,131.6124535315985,130.2865793306145,130.4620703374586,89347100
2021-04-16,130.79354858398438,131.29074588188703,129.935625520087,130.93003499179508,84922400
2021-04-19,131.45645141601562,132.07064756343885,129.99409097045535,130.15982336917756,94264200
2021-04-20,129.7698516845703,132.12912448166279,128.5024698015972,131.63192734239016,94812300
2021-04-21,130.15011596679688,130.39384277572347,128.0053230234237,129.0387223131278,68847100
2021-04-22,128.62918090820312,130.78371619258036,128.11248159334917,129.7015692570402,84566500
2021-04-23,130.94949340820312,131.72940697661994,128.84369107132306,128.84369107132306,78657500
2021-04-26,131.33944702148438,131.67091176764876,130.2085515483263,131.44668736593727,66905100
2021-04-27,131.0177764892578,132.01218598694598,130.74480366650468,131.62221418593927,66015800
2021-04-28,130.2280731201172,131.6319415185454,129.74061964154626,130.93975103357886,107760100
2021-04-29,130.1305694580078,133.630496551131,129.12641653636294,133.0455464580238,151101000
2021-04-30,128.1612548828125,130.20855024381436,127.78104182463377,128.47321732434253,109839500
2021-05-03,129.2141571044922,130.70577838338053,128.5219815192614,128.7267036427075,75135100
2021-05-04,124.64185333251953,128.19052150938094,123.52070884107249,127.89804644623831,137564700
2021-05-05,124.88558959960938,127.17661206810328,124.75884693241741,125.95797834787251,84000900
2021-05-06,126.48444366455078,126.49418737954478,123.93992827849607,124.68085970531065,78128300
2021-05-07,127.15824890136719,128.1836279216994,126.44534732764843,127.78324849809151,78973300
2021-05-10,123.87699890136719,126.50394796231055,123.83793549239249,126.3770049216638,88071200
2021-05-11,122.95904541015625,123.31060121990447,119.89263087268371,120.60552510907532,126142800
2021-05-12,119.8926010131836,121.71877596895344,119.38479168061018,120.50784029083053,112172300
2021-05-13,122.04107666015625,123.19342127323375,121.34771783923617,121.66021769444781,105861300
2021-05-14,124.46293640136719,124.892626453878,122.90043727939631,123.29106392253492,81918000
2021-05-17,123.31059265136719,123.95512773405065,122.23637496414497,123.84770522027007,74244600
2021-05-18,121.92387390136719,124.01371786549493,121.8555147978895,123.59379552967953,63342900
2021-05-19,121.76762390136719,121.99222918408067,119.98051210138631,120.27348393601976,92612000
2021-05-20,124.32622528076172,124.72661966171272,122.1680220813628,122.2949800317053,76857100
2021-05-21,122.49028778076172,125.00005419589023,122.27544274551913,124.8242725716539,79295400
2021-05-24,124.12113189697266,124.94144853323611,122.9883229095211,123.05668200832781,63092900
2021-05-25,123.92582702636719,125.31255193436976,123.35941878581565,124.8242630592938,72009500
2021-05-26,123.87699890136719,124.40434374665045,123.45707656811848,123.98442141340175,56575900
2021-05-27,122.34379577636719,124.64848475719648,122.14848618161899,123.47661228754039,94625600
2021-05-28,121.68948364257812,122.851595687509,121.63089226235721,122.6269829790248,71311100
2021-06-01,121.36723327636719,122.4121552577231,121.03520547415292,122.1484865589402,67637100
2021-06-02,122.12895202636719,122.30473364370846,121.14262887683675,121.36723416808287,59278900
2021-06-03,120.64458465576172,121.92387970340114,120.2441902802076,121.75786579428137,76229200
2021-06-04,122.93951416015625,123.20319033966574,120.94732476737572,121.16216981717328,75169300
2021-06-07,122.94926452636719,123.3594191359653,121.90434257301015,123.21293321808503,71057600
2021-06-08,123.76958465576172,125.44928155152503,123.2520074907996,123.63286644051075,74403800
2021-06-09,124.15044403076172,124.75591573650723,123.55474004059155,124.22857085419675,56877900
2021-06-10,123.15435791015625,125.18561069515118,122.98834399182276,124.04302634697638,71186400
2021-06-11,124.36528015136719,124.45317468407444,123.14457656242446,123.5644988950441,53522400
